URI,a,b,NAME,c
"http://id.loc.gov/vocabulary/iso639-2/aar","","aa","Afar","afar"
"http://id.loc.gov/vocabulary/iso639-2/abk","","ab","Abkhazian","abkhaze"
"http://id.loc.gov/vocabulary/iso639-2/ace","","","Achinese","aceh"
"http://id.loc.gov/vocabulary/iso639-2/ach","","","Acoli","acoli"
"http://id.loc.gov/vocabulary/iso639-2/ada","","","Adangme","adangme"
"http://id.loc.gov/vocabulary/iso639-2/ady","","","Adyghe; Adygei","adyghé"
"http://id.loc.gov/vocabulary/iso639-2/afa","","","Afro-Asiatic languages","afro-asiatiques, langues"
"http://id.loc.gov/vocabulary/iso639-2/afh","","","Afrihili","afrihili"
"http://id.loc.gov/vocabulary/iso639-2/afr","","af","Afrikaans","afrikaans"
"http://id.loc.gov/vocabulary/iso639-2/ain","","","Ainu","aïnou"
"http://id.loc.gov/vocabulary/iso639-2/aka","","ak","Akan","akan"
"http://id.loc.gov/vocabulary/iso639-2/akk","","","Akkadian","akkadien"
"http://id.loc.gov/vocabulary/iso639-2/alb","sqi","sq","Albanian","albanais"
"http://id.loc.gov/vocabulary/iso639-2/ale","","","Aleut","aléoute"
"http://id.loc.gov/vocabulary/iso639-2/alg","","","Algonquian languages","algonquines, langues"
"http://id.loc.gov/vocabulary/iso639-2/alt","","","Southern Altai","altai du Sud"
"http://id.loc.gov/vocabulary/iso639-2/amh","","am","Amharic","amharique"
"http://id.loc.gov/vocabulary/iso639-2/ang","","","English, Old (ca.450-1100)","anglo-saxon (ca.450-1100)"
"http://id.loc.gov/vocabulary/iso639-2/anp","","","Angika","angika"
"http://id.loc.gov/vocabulary/iso639-2/apa","","","Apache languages","apaches, langues"
"http://id.loc.gov/vocabulary/iso639-2/ara","","ar","Arabic","arabe"
"http://id.loc.gov/vocabulary/iso639-2/arc","","","Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE)","araméen d'empire (700-300 BCE)"
"http://id.loc.gov/vocabulary/iso639-2/arg","","an","Aragonese","aragonais"
"http://id.loc.gov/vocabulary/iso639-2/arm","hye","hy","Armenian","arménien"
"http://id.loc.gov/vocabulary/iso639-2/arn","","","Mapudungun; Mapuche","mapudungun; mapuche; mapuce"
"http://id.loc.gov/vocabulary/iso639-2/arp","","","Arapaho","arapaho"
"http://id.loc.gov/vocabulary/iso639-2/art","","","Artificial languages","artificielles, langues"
"http://id.loc.gov/vocabulary/iso639-2/arw","","","Arawak","arawak"
"http://id.loc.gov/vocabulary/iso639-2/asm","","as","Assamese","assamais"
"http://id.loc.gov/vocabulary/iso639-2/ast","","","Asturian; Bable; Leonese; Asturleonese","asturien; bable; léonais; asturoléonais"
"http://id.loc.gov/vocabulary/iso639-2/ath","","","Athapascan languages","athapascanes, langues"
"http://id.loc.gov/vocabulary/iso639-2/aus","","","Australian languages","australiennes, langues"
"http://id.loc.gov/vocabulary/iso639-2/ava","","av","Avaric","avar"
"http://id.loc.gov/vocabulary/iso639-2/ave","","ae","Avestan","avestique"
"http://id.loc.gov/vocabulary/iso639-2/awa","","","Awadhi","awadhi"
"http://id.loc.gov/vocabulary/iso639-2/aym","","ay","Aymara","aymara"
"http://id.loc.gov/vocabulary/iso639-2/aze","","az","Azerbaijani","azéri"
"http://id.loc.gov/vocabulary/iso639-2/bad","","","Banda languages","banda, langues"
"http://id.loc.gov/vocabulary/iso639-2/bai","","","Bamileke languages","bamiléké, langues"
"http://id.loc.gov/vocabulary/iso639-2/bak","","ba","Bashkir","bachkir"
"http://id.loc.gov/vocabulary/iso639-2/bal","","","Baluchi","baloutchi"
"http://id.loc.gov/vocabulary/iso639-2/bam","","bm","Bambara","bambara"
"http://id.loc.gov/vocabulary/iso639-2/ban","","","Balinese","balinais"
"http://id.loc.gov/vocabulary/iso639-2/baq","eus","eu","Basque","basque"
"http://id.loc.gov/vocabulary/iso639-2/bas","","","Basa","basa"
"http://id.loc.gov/vocabulary/iso639-2/bat","","","Baltic languages","baltes, langues"
"http://id.loc.gov/vocabulary/iso639-2/bej","","","Beja; Bedawiyet","bedja"
"http://id.loc.gov/vocabulary/iso639-2/bel","","be","Belarusian","biélorusse"
"http://id.loc.gov/vocabulary/iso639-2/bem","","","Bemba","bemba"
"http://id.loc.gov/vocabulary/iso639-2/ben","","bn","Bengali","bengali"
"http://id.loc.gov/vocabulary/iso639-2/ber","","","Berber languages","berbères, langues"
"http://id.loc.gov/vocabulary/iso639-2/bho","","","Bhojpuri","bhojpuri"
"http://id.loc.gov/vocabulary/iso639-2/bih","","bh","Bihari languages","langues biharis"
"http://id.loc.gov/vocabulary/iso639-2/bik","","","Bikol","bikol"
"http://id.loc.gov/vocabulary/iso639-2/bin","","","Bini; Edo","bini; edo"
"http://id.loc.gov/vocabulary/iso639-2/bis","","bi","Bislama","bichlamar"
"http://id.loc.gov/vocabulary/iso639-2/bla","","","Siksika","blackfoot"
"http://id.loc.gov/vocabulary/iso639-2/bnt","","","Bantu (Other)","bantoues, autres langues"
"http://id.loc.gov/vocabulary/iso639-2/bos","","bs","Bosnian","bosniaque"
"http://id.loc.gov/vocabulary/iso639-2/bra","","","Braj","braj"
"http://id.loc.gov/vocabulary/iso639-2/bre","","br","Breton","breton"
"http://id.loc.gov/vocabulary/iso639-2/btk","","","Batak languages","batak, langues"
"http://id.loc.gov/vocabulary/iso639-2/bua","","","Buriat","bouriate"
"http://id.loc.gov/vocabulary/iso639-2/bug","","","Buginese","bugi"
"http://id.loc.gov/vocabulary/iso639-2/bul","","bg","Bulgarian","bulgare"
"http://id.loc.gov/vocabulary/iso639-2/bur","mya","my","Burmese","birman"
"http://id.loc.gov/vocabulary/iso639-2/byn","","","Blin; Bilin","blin; bilen"
"http://id.loc.gov/vocabulary/iso639-2/cad","","","Caddo","caddo"
"http://id.loc.gov/vocabulary/iso639-2/cai","","","Central American Indian languages","amérindiennes de L'Amérique centrale, langues"
"http://id.loc.gov/vocabulary/iso639-2/car","","","Galibi Carib","karib; galibi; carib"
"http://id.loc.gov/vocabulary/iso639-2/cat","","ca","Catalan; Valencian","catalan; valencien"
"http://id.loc.gov/vocabulary/iso639-2/cau","","","Caucasian languages","caucasiennes, langues"
"http://id.loc.gov/vocabulary/iso639-2/ceb","","","Cebuano","cebuano"
"http://id.loc.gov/vocabulary/iso639-2/cel","","","Celtic languages","celtiques, langues; celtes, langues"
"http://id.loc.gov/vocabulary/iso639-2/cha","","ch","Chamorro","chamorro"
"http://id.loc.gov/vocabulary/iso639-2/chb","","","Chibcha","chibcha"
"http://id.loc.gov/vocabulary/iso639-2/che","","ce","Chechen","tchétchène"
"http://id.loc.gov/vocabulary/iso639-2/chg","","","Chagatai","djaghataï"
"http://id.loc.gov/vocabulary/iso639-2/chi","zho","zh","Chinese","chinois"
"http://id.loc.gov/vocabulary/iso639-2/chk","","","Chuukese","chuuk"
"http://id.loc.gov/vocabulary/iso639-2/chm","","","Mari","mari"
"http://id.loc.gov/vocabulary/iso639-2/chn","","","Chinook jargon","chinook, jargon"
"http://id.loc.gov/vocabulary/iso639-2/cho","","","Choctaw","choctaw"
"http://id.loc.gov/vocabulary/iso639-2/chp","","","Chipewyan; Dene Suline","chipewyan"
"http://id.loc.gov/vocabulary/iso639-2/chr","","","Cherokee","cherokee"
"http://id.loc.gov/vocabulary/iso639-2/chu","","cu","Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic","slavon d'église; vieux slave; slavon liturgique; vieux bulgare"
"http://id.loc.gov/vocabulary/iso639-2/chv","","cv","Chuvash","tchouvache"
"http://id.loc.gov/vocabulary/iso639-2/chy","","","Cheyenne","cheyenne"
"http://id.loc.gov/vocabulary/iso639-2/cmc","","","Chamic languages","chames, langues"
"http://id.loc.gov/vocabulary/iso639-2/cop","","","Coptic","copte"
"http://id.loc.gov/vocabulary/iso639-2/cor","","kw","Cornish","cornique"
"http://id.loc.gov/vocabulary/iso639-2/cos","","co","Corsican","corse"
"http://id.loc.gov/vocabulary/iso639-2/cpe","","","Creoles and pidgins, English based","créoles et pidgins basés sur l'anglais"
"http://id.loc.gov/vocabulary/iso639-2/cpf","","","Creoles and pidgins, French-based ","créoles et pidgins basés sur le français"
"http://id.loc.gov/vocabulary/iso639-2/cpp","","","Creoles and pidgins, Portuguese-based ","créoles et pidgins basés sur le portugais"
"http://id.loc.gov/vocabulary/iso639-2/cre","","cr","Cree","cree"
"http://id.loc.gov/vocabulary/iso639-2/crh","","","Crimean Tatar; Crimean Turkish","tatar de Crimé"
"http://id.loc.gov/vocabulary/iso639-2/crp","","","Creoles and pidgins ","créoles et pidgins"
"http://id.loc.gov/vocabulary/iso639-2/csb","","","Kashubian","kachoube"
"http://id.loc.gov/vocabulary/iso639-2/cus","","","Cushitic languages","couchitiques, langues"
"http://id.loc.gov/vocabulary/iso639-2/cze","ces","cs","Czech","tchèque"
"http://id.loc.gov/vocabulary/iso639-2/dak","","","Dakota","dakota"
"http://id.loc.gov/vocabulary/iso639-2/dan","","da","Danish","danois"
"http://id.loc.gov/vocabulary/iso639-2/dar","","","Dargwa","dargwa"
"http://id.loc.gov/vocabulary/iso639-2/day","","","Land Dayak languages","dayak, langues"
"http://id.loc.gov/vocabulary/iso639-2/del","","","Delaware","delaware"
"http://id.loc.gov/vocabulary/iso639-2/den","","","Slave (Athapascan)","esclave (athapascan)"
"http://id.loc.gov/vocabulary/iso639-2/dgr","","","Dogrib","dogrib"
"http://id.loc.gov/vocabulary/iso639-2/din","","","Dinka","dinka"
"http://id.loc.gov/vocabulary/iso639-2/div","","dv","Divehi; Dhivehi; Maldivian","maldivien"
"http://id.loc.gov/vocabulary/iso639-2/doi","","","Dogri","dogri"
"http://id.loc.gov/vocabulary/iso639-2/dra","","","Dravidian languages","dravidiennes, langues"
