replace,abstract
http://hdl.handle.net/1957/35964,"The northern Los Angeles basin is influenced by two structural styles: the west-trending compressional Transverse Ranges to the north, and the strike-slip Peninsular Ranges to the south. The interaction of these two structural styles has resulted in a complex fold fault belt at the northern margin of the Los Angeles basin, which deforms a variable sequence of late Miocene through Quaternary marine strata. Subsurface mapping of Quaternary marine gravels by electric-log correlation documents the latest phase of deformation in the northern Los Angeles basin. The Quaternary marine gravels are folded at the Wilshire arch, the Hollywood basin, the central trough, the Newport-Inglewood fault, and the Santa Monica fault. The west-plunging Wilshire arch, which follows Wilshire Boulevard east of the Newport- Inglewood fault, is a broad fold identified and named in this study. Deformation of the Wilshire arch, which is underlain and caused by the potentially-seismogenic Wilshire fault, began around 0.8 - 1.0 Ma. A fault-bend fold model, based on the shape of the Wilshire arch, indicates a dip-slip rate of 1.5 - 1.9 mm yr for the Wilshire fault, whereas a three-dimensional elastic dislocation model indicates a right-reverse slip rate of 2.6 - 3.2 mm per year for the Wilshire fault. The finer-grained marine Pliocene strata include the late Pliocene to early Pleistocene Pico member, and the early Pliocene Repetto member, of the Fernando Formation. Thickness and lithology variations in the Pico and Repetto strata, which were influenced by syndepositional structures, indicate that the entire Pliocene and the latest Miocene were characterized by compression. The primary structure present throughout the Pliocene is a south-dipping monocline, which was underlain and caused by a deep reverse fault, dipping ~55 - 60° to the north, referred to here as the Monocline fault. Relative subsidence of the central trough resulted in deposition of up to 7000 ft (2135 m) of Pico strata, and up to 5000 ft (1525 m) of Repetto strata, compared to zero deposition on the monoclinal high. In the western part of the study area, the south-dipping monocline is interrupted by the secondary East Beverly Hills fold, which may be a rabbit-ear fold that accommodates excess volume by bedding-parallel slip. The East Beverly Hills fold was active in the latest Miocene through Pliocene, and was most active during early Pliocene Repetto deposition. In the eastern part of the study area, the monocline is interrupted by the Las Cienegas fold, which formed in the hangingwall of the Las Cienegas fault. The Las Cienegas fault was a normal fault in the late Miocene, and was reactivated in the Pliocene as a steep reverse fault. Folding and uplift on the Las Cienegas anticline occurred throughout the Pliocene, with the greatest amount occurring during lower and lower-middle Pico deposition."
http://hdl.handle.net/1957/26338,"The Middle Fork John Day Basin in Northeastern Oregon is prime habitat for spring Chinook salmon and Steelhead trout. In 2008, a major tributary supporting rearing habitat, Big Boulder Creek, was restored to its historic mid-valley channel along a 1 km stretch of stream 800 m upstream of the mouth. Reduction of peak summer stream temperatures was among the goals of the restoration. Using Distributed Temperature Sensing (DTS) Fiber Optic Technology, stream temperature was monitored prior to restoration in June 2008, and after restoration in September 2008, July 2009, and August 2009. Data gathered was used to determine locations of groundwater and hyporheic inﬂow and to form a stream temperature model of the system. The model was used both to develop an evaluation method to interpret components of model performance, and to better understand the physical processes important to the study reach. A very clear decreasing trend in surface temperature was seen throughout each of the DTS stream temperature datasets in the downstream 500 m of the study reach. Observed reduction in temperature was 0.5°C (±0.10) in June 2008, 0.3°C (±0.37) in September 2008, 0.6°C (±0.25) in July 2009, and 0.2°C (±0.08) in August 2009. Groundwater inflow was calculated to be 3% of the streamflow for July 2009 and 1% during the August 2009 installation. Statistically significant locations of groundwater and hyporheic inﬂow were also determined. July 2009 data was used to model stream temperature of the 1 km (RMSE 0.28°C). The developed model performance evaluation method measures timelag, offset, and amplitude at a downstream observed or simulated point compared with the boundary condition, rather than evaluating the model based on error. These measures are particularly relevant to small scale models in which error may not be a true reﬂection of the ability of a model to correctly predict temperature. Breaking down model performance into these three predictive measures was a simple and graphic method to show the model's predictive capability without sorting through large amounts of data. To better understand the model and the stream system, a sensitivity analysis was conducted showing high sensitivity to streamﬂow, air temperature, groundwater inﬂow, and relative humidity. Somewhat surprisingly, solar radiation was among the lowest sensitivity. Furthermore, three model scenarios were run: a 25% reduction in water velocity, a 5°C increase in air temperature, and no groundwater inﬂow. Simulations of removal of groundwater inflows resulted in a 0.5°C increase in average temperature over the modeled time period at the downstream end, further illustrating the importance of groundwater in this stream system to reduce temperatures."
http://hdl.handle.net/1957/11592,"Surface and subsurface data are combined to determine the structure of the western half of the Simi fault system in the Las Posas and Camarillo Hills area. Cretaceous to Eocene sedimentary rocks, present only in the subsurface, are overlain by late Eocene to early Miocene nonmarine stata (Sespe Formation) and middle Miocene volcanics and sedimentary rocks (Conejo Volcanics and Topanga Formation undifferentiated), in part exposed in the Las Posas Hills. Late Miocene marine beds (Modelo Formation) are present in the subsurface in the Camarillo Hills and may crop out in the eastern Santa Rosa Valley. These rocks are overlain unconformably by marine Pliocene-Pleistocene beds (Saugus Formation), older and younger Quaternary alluvium, and alluvial fan deposits. Normal faults cause the Sespe to subside towards a thick volcanic pile, built up in the Conejo Hills in the middle Miocene. Volcanic rocks buttressed against and later overtopped these Sespe subsidence structures. Reverse faults in the Oxnard plain and the left-lateral Somis fault are truncated by the unconformity at the base of the Saugus. Miocene and older strata were broadly folded in the Las Posas anti-cline and Santa Rosa syncline prior to deposition of the Saugus Formation and displacement on the Simi fault zone. The Bailey fault, a northwest-trending range-front fault, shows reverse separation, commonly follows Sespe subsidence structures and north-dipping normal faults which cut the Sespe. The Camarillo Hills anticline, Springville dome and post-Saugus Las Posas anticline appear to be pressure ridges adjacent to the Simi fault system on the north. Older alluvium deposits are uplifted and warped. The Camarillo fault cut and warped older alluvium."
http://hdl.handle.net/1957/11752,"The Middle and West Forks of Little Sheep Creek in the southern Tendoy Range have incised valleys across Cenozoic structural features exposing strata that range in age from the Mississippian to the Neoene. Paleozoic strata are 1,349 m thick and belong to the Mission Canyon Limestone, the Big Snowy, Amsden, Quadrant, and Priosphoria FormationS. The Scott Peak Formation of the White Knob Group of Idaho is allochtononous and forms the upper plate of the Medicine Lodge thrust. Paleozoic and Triassic strata of the thesis area represent sedimentation across a transition zone between a stable craton to the east and the Cordilleran miogeosyncline to the west. Regional unconformities are recognized locally at the top of the Mission Canyon Limestone and the Phosphoria and Thaynes Formations, but not at the top o the Big Snowy, Amsden, or Quadrant Formations, Mesozoic strata have a total thickness of 1,404 m and belong to the Dinwoody, Woodside, and Thaynes Formations, the newly recognized Gypsum Spring Tongue of the Twin Creek Formation, the Sawtooth and Rierdon Formations of the Ellis Group, the Morrison and Kootenai Formations, the Colorado Shale, and the Beaverhead Formation. Cenozoic strata are represented by the newly named Round Timber limestone (informal) of the Medicine Lodge beds (Miocene) and the Edie School rhyolite (Pliocene). Detailed stratigraphic and petrographic analyses were made of the Triassic Dinwoody, Woodside, and Thaynes Formations, the Jurassic Gypsum Spring Tongue, and the Niocene Round Timber limestone in order to determine environments of deposition. The limestones, calcareous siltstones, and silty limestones of the Dinwoody and Thaynes Formations were deposited in a shallow marine shelf environment as a result of two transgressive pulses separated by an Early Traissic regression. The Triassic seas had transgressed eastward onto the craton from the miogeosyncline. The Dinwoody arid Thaynes fauna indicate normal salinities and open marine conditions; the widespread regional distribution of the limestone-siltstone facies indicates broad equable conditions for sedimentation. Deposition was primarily a tractive process genarated by storm-driven, tidal, and long-shore currents within a maximum depth of approximately 50 m. The Early Triassic regressive phase is represented by the deposition of the variegated siltstone, sandstone, limestone, and dolomite of the Woodside Formation in a tidal flat environment. The Gypsum Spring Tongue consists of interbedded variegated siltstone, sandstone, limestone, dolomite, and limestone conglomerate that were deposited in a tidal flat and restricted marginal marine environment extending east from southwestern Montana and eastern Idaho across Wyoming arid southern Montana. The Middle Jurassic sea transgressed South across the North American continent. The Miocene Round Timber limestone was deposited in a fresh-water lake in which calcite was being deposited as encrustations on the green algae Chara and as a precipitate directly from solution. The folding and faulting within the thesis area are the result of cratonic and miogeosynclinal responses to Cretaceous-Early Tertiary orogenesis. A southwestward-plunging anticline has been refolded into northeastward-yielding, overturned, doubly-plunging folds oriented northwest-southeast. High angle reverse faults of minor displacement have occurred along the southeastern limb of Garfield anticline and within the axis of the Seybold syncline. Post-Laramide relaxation of compressional forces has caused north- and northwest-oriented normal faults that transect earlier structures. Sandstone and limestone of the Scott Peak Formation of the White Knob Group were implaced along the Medicine Lodge thrust."
http://hdl.handle.net/1957/41209,"This thesis is an effort to formalize and document some of the changes occuring in the Warwar Valley of Gongola State, Nigeria, West Africa. The documentation will comprise a photographic study over time accompanied by an ethnographic narrative. Information gathered from photographic images, field notes and the anthropological record will then be applied to a cultural-ecological model based on the theory of Julian Steward. The Mambilla people inhabiting the Warwar Valley are changing their traditional agricultural land use patterns and value system due to the influx of new ideas, notably the introduction of a cash economy. This cultural change has affected environmental change, observable in soil erosion."
http://hdl.handle.net/1957/20612,"Benton County has experienced substantial growth in the past 30 years, and is expected to continue growing (BCWP 2008). Continued development has occurred in the Willamette Valley, housing development in the nearby hills of the Coast Range is growing. New houses in the foothills of the Coast Range may not use municipal water supply and are generally supplied by domestic or community wells, which pump groundwater sourced from the local uplifted formation of the Siletz River Volcanics (SRV). Continued population growth is expected to rely heavily on the groundwater resources of the SRV.  The SRV are a series of accreted Tertiary submarine and subaerial basalt formations stretching from Northern California to Vancouver Island, composed of porous pillow basalt flows with interbedded semi-impermeable silts and shales. Flow occurs via basalt fractures and interflow zones in the SRV. The aquifer structure and flow mechanisms result in discontinuous perched and confined aquifers. Due to the structure and higher gradients of the flow zones in the SRV, aquifers are presumed to be heterogeneous, anisotropic, and leaky. Wells usually penetrate multiple saturated zones before sufficient yield is provided to supply a domicile.  The complex, unpredictable nature of the SRV has discouraged hydrogeologic studies, and the majority of studies are performed by consultants to evaluate a new water supply. The most recent comprehensive study of groundwater in Benton County that included the SRV as a water-bearing unit was a USGS Water-Supply Paper by F.J. Frank in 1974. The substantial recent development of the SRV has provided a large amount of new data, including well logs digitized by OWRD.  This thesis characterizes the SRV by developing hydrogeologic spatial datasets for Benton County. The study applies GIS methods to spatially distribute well log entries by Public Land Survey System (PLSS) units and by Address, resulting in a representative subset of the original data, with good spatial coverage, moderate resolution, and decent accuracy. Wells located within the SRV are spatially subset to provide insight about the formation, and spatial interpolations of common hydrogeologic parameters are performed leveraging the well distributions.  This study found that (relative to Benton County): the SRV have a lower well density, a higher percent of wells in the SRV have positive yields (84%), SRV wells have lower average well yields (19-22 gpm), appear to have a higher frequency of confined groundwater, and have much lower mean specific capacity (0.03 - 0.3 gpm per ft). More importantly, this study has taken a first step towards accomplishing some of the data needs established by Benton County. Additionally, fundamental LIDAR and spring location datasets were prepared for upper Oak Creek Watershed in association with this study, opening the door for subsequent topography-groundwater studies."
http://hdl.handle.net/1957/11208,"The Pennsylvanian rocks in south-central Idaho and adjacent areas consist of three main facies: a platform facies, a shelf facies, and a marginal basin facies. The platform facies is represented by the Amsden, Quadrant, and Tensleep Formations, in southwestern Montana and western Wyoming, and contain Middle and probably Lower Pennsylvanian strata. The shelf facies is represented by the Pennsylvanian part of the White Knob Limestone, which extends from the Lemhi Range to the White Knob Mountains west of the Lost River Range in south-central Idaho, and contains Lower, Middle, and Upper Pennsylvanian strata. The marginal basin facies is represented by clastics of the Middle and Upper Pennsylvanian part of the Wood River Formation, in the Wood River region in south-central Idaho, and the Lower, Middle, and Upper Pennsylvanian part of the Wells Formation in southeastern Idaho. Broad epeirogenic upwarps or eustatic sea level caused the shelf and platform to be alternately positive and negative during Pennsylvanian time. Pennsylvanian seas reached maximum inundation during Desmoinesian time after which a temporary offlap developed during Missourian through Middle Virgilian time on the platform and shelf areas, and epicontinental seas were restricted to the Wells and Wood River basins. During Late Virgilian time the seas spread to the east over former areas of post-Desmoinesian erosion on the shelf area Generalized isopachous and lithofacies maps of Pennsylvanian time-stratigraphic units are presented, with interpretations of the positions and periods of activity of positive and negative elements."
http://hdl.handle.net/1957/60340,"In volcanic systems, magma is generally stored in the shallow crust prior to eruption. The conditions of this storage directly impact whether the magma eventually erupts, or crystallizes within the crust to form a pluton. In this dissertation I present four studies that investigate the storage conditions of a number of volcanic systems and their timescales. A widespread method to quantify the timescales of magmatic processes is diffusion modeling of compositional variations in zoned crystals. Obtaining timescale information from diffusion modeling relies on fitting modeled diffusion profiles to measured compositional gradients. Therefore, the spatial resolution of the geochemical analysis technique used to characterize these gradients has the potential to limit the accuracy and precision of calculated diffusion timescales, especially when the resolution of the individual analyses approaches the width of the observed diffusion gradient. A probabilistic modeling approach is presented to assess the accuracy of short diffusion timescale estimates with respect to the spatial resolution of the geochemical measurement of compositional zoning. We develop a generalized method to quantify these shortest timescales that can be accurately calculated for given spatial resolutions and diffusivity. This provides a simple method to assess the accuracy of short diffusion timescales. Olivine-rich picrites are a relatively common eruptive product of ocean island and flood basalt volcanism. This rock type has a primitive bulk-rock composition similar to mantle-derived melts; however, picrites are olivine-rich. The common interpretation for the formation of picrites is the accumulation of olivine in more evolved, basaltic liquids. Many picrites contain two textural populations of olivine, one with deformation features (kink bands, subgrains or undulose extinction), and one without deformation. Deformation textures in olivine is traditionally thought to form by plastic deformation during storage in a deforming cumulate zone. However, recently it has been proposed that deformation textures could be the result of growth phenomena. We use textural (crystal sizes, deformation textures and minor element zoning patterns) and geochemical analysis (trace element compositions and minor element diffusion) of olivine from the 1959 eruption of Kīlauea Iki to show that these two olivine populations are derived from different sources and that the deformed population experienced longer residence times than the undeformed population. Our results are consistent with the interpretation that olivine is deformed in cumulate zones, and later entrained in unrelated magmas. The conditions of upper crustal magma storage in arc settings are fundamentally important to the evolution and ultimate fate of arc magmas. Current thermal models suggest that accumulation of significant bodies of eruptible magma require either high magma influx and storage at elevated temperatures, or lower flux and storage as low temperature crystal mushes that are later thermally rejuvenated. We use textural (crystal sizes) and geochemical (plagioclase trace elements and trace element diffusion in plagioclase, quartz and sanidine) analyses of samples from several arc systems ranging in eruptive volume from < 1 km³ to > 5,000 km³ to obtain observational evidence for the thermal conditions of arc magma storage. In particular we quantify the maximum amount of time a given crystal could have resided in a mobile magma (< 50% crystals, i.e., below the rheological lockup). This study is split into two parts, the first is focused on the large, caldera-forming eruptions (≥ 10 km³) and the second on the smaller, more typical arc eruptions (≤ 13 km³). Diffusion timescales from 11 caldera-forming eruption reveal three types of magmatic systems: 1) relatively small volume systems (< ~100 km³) that record short residence times (< ~1200 years) at or above the rheological lockup temperature, 2) large volume systems (> ~100 km³) that record long residence times (< 160,000 years) for plagioclase diffusion and short timescales for quartz and sanidine, and 3) large volume systems that record variable to low residence times. This suggests that the smaller systems experience cold storage conditions where rejuvenation is needed to remobilized magma that is locked up as a crystal mush. The longer residence times for the larger systems suggests that thermal conditioning of the crust and or higher magma fluxes allow these magmas to be stored at elevated temperatures longer than the smaller systems. The second part of the study of the storage conditions of arc magmas gives evidence for two different storage conditions. The smaller (<13 km³), more typical arc magmatic systems all record short residence times (10¹-10³ years) at hightemperatures. However these timescales are the result of two different processes. The first is observed in the relatively crystal-poor systems (<20% crystals), where diffusion records the timing of crystal growth after silicic melt extraction from crystal mushes. The second process, recorded in crystal-rich systems (25-50% crystals), suggests that they are stored as relatively cold crystal mushes that must be rapidly remobilized prior to eruption. We conclude that the majority of these systems were stored at low temperatures for much of their lifetimes."
http://hdl.handle.net/1957/4059,"Coral reef ecosystems are the most diverse on earth, and their subsistence is being threatened by natural and adverse anthropogenic patterns and processes. In an effort to understand and protect these marine environments, several programs have outlined strategies and initiatives. For example, the United States Coral Reef Task Force’s Mapping and Information Working Group has outlined a specific goal to map all coral reefs below 30 m depth by 2009. This study contributes to achieving that goal for three sites around the island of Tutuila, American Samoa, lying in the heart of the South Pacific. American Samoa, a U.S. territory, is home to the Fagatele Bay National Marine Sanctuary, the smallest and most remote in the United States, and to the National Park of American Samoa. Extensive modern scientific surveys were implemented around the territory in 2001 and have since continued and increased. The presence of protected areas and the existence of scientific data collected with state of the art technology have made the site a priority for the Coral Reef Task Force. In this study, methods for classifying surficial seafloor characteristics as bathymetric position index (BPI) zones and structures were developed and applied to the study sites. BPI zones and structures were classified by using algorithms that combine high-resolution (1 m) multibeam bathymetry and its derivatives: bathymetric position index at multiple scales and slope. The development of algorithms and the classification scheme involved the use of historical and current classification studies and three-dimensional visualization. In addition, the BPI zones and structures were compared to limited biological, geological, and physical attributes recorded during accuracy assessment surveys (photos) and towed diver surveys (video). A rugosity (surface ratio) analysis was added to the study to give a picture of the seafloor roughness. The BPI zone and structure classifications overlap and extend existing classifications from Ikonos satellite imagery for water depths shallower than 30 m. Methods, data and classifications developed and applied in this study will be available to the public as a benthic habitat mapping tool (ArcGIS extension), in an online GIS data archive, and on a compact disc attached to this thesis. They contribute to a broader understanding of the marine and coastal environment and will serve as a baseline of information for benthic habitat mapping and future biological, ecological, and geological surveys. The baseline gives a good indication of characteristics that may indicate areas of high biodiversity. The final maps presented here are especially useful to managers, researchers and scientists that seek to establish and monitor a wider and more effective network of marine and coastal protection."
http://hdl.handle.net/1957/28578,"A comprehensive tribal-level classification for the world's subfamilies of Hesperiidae, the skipper butterflies, is proposed for the first time. Phylogenetic relationships between tribes and subfamilies are inferred using DNA sequence data from three gene regions: 943 bp of cytochrome oxidase subunit I (COI) (in the mitochondrial genome), 739 bp of elongation factor-lα (EF-lα) and 403 bp of wingless (both in the nuclear genome). Morphological character scores were then added to the molecular matrix, for a combined simultaneous analysis. In both analyses, branch support for each clade is investigated, and conflict among data partitions is assessed using the partition congruence index. Monophyly of the family Hesperiidae is strongly supported, as are some of the traditionally recognized subfamilies, with the following relationships (from the combined molecular and morphological analysis): (Coeliadinae + (Euschemoninae + (Eudaminae + (Pyrginae + (Trapezitinae + (Heteropterinae + Hesperiinae)))))). The formerly recognized subfamily Pyrrhopyginae, while strongly supported as a monophyletic group, is downgraded to a tribe of Pyrginae. The former subfamily Megathyminae is considered to be an infra-tribal group of Hesperiinae (Erionotini), although its phylogenetic position therein remains uncertain. The Australian endemic Euschemon rafflesia is a hesperiid, given subfamily-status. Most of the traditionally recognized generic groups and subgroups currently employed to partition the subfamilies of Hesperiidae are not monophyletic. Seven subfamilies of Hesperiidae are recognized: Coeliadinae, Euschemoninae (confirmed reinstated status), Eudaminae (new status), Pyrginae, Trapezitinae, Heteropterinae (confirmed status) and Hesperiinae. Pyrrhopygini (reinstated status), Tagiadini (confirmed reinstated status), Celaenorrhinini (confirmed new status), Carcharodini (reinstated status), Achlyodini (new status), Erynnini (confirmed new status) and Pyrgini (confirmed status) are treated as tribes of Pyrginae, but the circumscription of Achlyodini and Pyrgini requires further elaboration. Tribes of Hesperiinae include Aeromachini (new status), Erionotini (new status), Baorini (new status), Taractrocerini (confirmed reinstated status), Thymelicini (confirmed reinstated status), Calpodini (reinstated status), Anthoptini (new tribe), Moncini (new tribe), and Hesperiini (confirmed reinstated status), but the circumscription of Erionotini should be considered tentative.-  "
